Date,Month,Hot metal to SMS,Production,Productivity,Wind Volume,HBT,Hot Blast Pressure (bar),O2 Enrichment (%),Oxygen Consumption,Iron Ore,Sinter Used,Pellet Used,Coke Used,PCI Used,Limestone,Coke Rate,PCI Coal Rate,Total Fuel Rate,Sinter Percent,Pellet Percent,Iron in Burden,Ore/Coke,Slag Rate,total slag generation,Furnace Availability,Performance Rate,Quality product rate,O E E,Status,Comment
29-04-2026,April,"10,210","10,210",2.2,"5,976",1101,4.29,7.56,"38,010",0,"6,553","10,250","1,881","2,066",366,366,178,544,39,61,58.06,7,358,3655.00,1,0.93,0,0,Running,Normal and Stable Operation
30-04-2026,April,"10,130","10,130",2.2,0,0,0,7.40,"43,244",0,"5,927","10,537","1,936","2,107",355,365,183,548,36,64,59.12,7,355,3596.00,1,0.92,0,0,Running,Normal and Stable Operation
01-05-2026,May,"10,250","10,250",2.2,"5,909",1113,4.32,8.30,0,0,"5,877","10,914","3,119","2,131",277,365,183,548,35,65,Not Available,5,350,3588.00,1,0.93,0.92,0.85744,Running,Normal and Stable Operation
02-05-2026,May,"10,360","10,360",2.2,"5,914",1132,4.33,7.56,"41,086",0,"6,737","10,105","2,029","2,143",192,367,182,549,40,60,59,7,340,3522.00,1,0.94,0.94,0.88548,Running,Normal and Stable Operation
03-05-2026,May,"10,235","10,235",2.2,"5,952",1110,4.33,7.60,"38,695",0,"6,949","10,000","2,019","2,093",226,361,180,541,41,59,58,,340,3480.00,1,0.93,0,0,Running,Normal and Stable Operation
04-05-2026,May,"10,020","10,020",2.2,"5,866",1120,4.35,10.82,"38,346",0,"6,067","10,280","1,909","2,091",367,362,181,543,37,63,59,7,369,3697.00,1,0.91,0,0,Running,Normal and Stable Operation
05-05-2026,May,"10,105","10,105",2.2,"5,933",1128,4.35,9.42,"35,458",0,"6,151","10,472","1,937","1,989",284,370,181,551,37,63,58,7,344,3476.00,1,0.92,0.94,0.86386,Running,Normal and Stable Operation
06-05-2026,May,"9,255","9,255",2,"5,802",1128,4.32,9.94,"37,407",0,"5,842","9,531","1,914","1,820",300,378,170,548,38,62,58,7,355,3286.00,1,0.84,0,0,Running,Normal and Stable Operation
07-05-2026,May,"9,610","9,610",2.1,"5,831",1114,4.32,10.71,"40,465",0,"5,557","10,320","1,976",0,469,374,175,549,35,65,58,7,350,3364.00,1,0.87,0,0,Running,Normal and Stable Operation
08-05-2026,May,"9,512","9,512",2.1,"5,823",1111,4.35,10.59,"40,758",0,"5,234","10,605","2,109","1,892",390,380,168,548,33,67,58,7,361,3434.00,1,0.87,0,0,Running,Normal and Stable Operation
09-05-2026,May,"9,501","9,501",2,"5,710",1123,4.34,9.08,"37,814",0,"6,286","9,429","1,996","1,811",324,382,169,551,40,60,58,6,370,3515.00,1,0.86,0.69,0.594,Running,Normal and Stable Operation
